token_id,token
0,<BOS>
1,<EOS>
2,<SEP>
3,T0_tthou
4,T1_tthou
5,T2_tthou
6,T3_tthou
7,T4_tthou
8,T5_tthou
9,T6_tthou
10,T7_tthou
11,T8_tthou
12,T9_tthou
13,T0_thu
14,T1_thu
15,T2_thu
16,T3_thu
17,T4_thu
18,T5_thu
19,T6_thu
20,T7_thu
21,T8_thu
22,T9_thu
23,T0_hun
24,T1_hun
25,T2_hun
26,T3_hun
27,T4_hun
28,T5_hun
29,T6_hun
30,T7_hun
31,T8_hun
32,T9_hun
33,T0_ten
34,T1_ten
35,T2_ten
36,T3_ten
37,T4_ten
38,T5_ten
39,T6_ten
40,T7_ten
41,T8_ten
42,T9_ten
43,T0_one
44,T1_one
45,T2_one
46,T3_one
47,T4_one
48,T5_one
49,T6_one
50,T7_one
51,T8_one
52,T9_one
53,L0_hun
54,L1_hun
55,L2_hun
56,L3_hun
57,L4_hun
58,L5_hun
59,L6_hun
60,L7_hun
61,L8_hun
62,L9_hun
63,L0_ten
64,L1_ten
65,L2_ten
66,L3_ten
67,L4_ten
68,L5_ten
69,L6_ten
70,L7_ten
71,L8_ten
72,L9_ten
73,L0_one
74,L1_one
75,L2_one
76,L3_one
77,L4_one
78,L5_one
79,L6_one
80,L7_one
81,L8_one
82,L9_one
83,L_pos
84,L_neg
85,F0_ten
86,F1_ten
87,F2_ten
88,F3_ten
89,F4_ten
90,F5_ten
91,F6_ten
92,F7_ten
93,F8_ten
94,F9_ten
95,F0_one
96,F1_one
97,F2_one
98,F3_one
99,F4_one
100,F5_one
101,F6_one
102,F7_one
103,F8_one
104,F9_one
105,F_pos
106,F_neg
107,S0_thu
108,S1_thu
109,S2_thu
110,S3_thu
111,S4_thu
112,S5_thu
113,S6_thu
114,S7_thu
115,S8_thu
116,S9_thu
117,S0_hun
118,S1_hun
119,S2_hun
120,S3_hun
121,S4_hun
122,S5_hun
123,S6_hun
124,S7_hun
125,S8_hun
126,S9_hun
127,S0_ten
128,S1_ten
129,S2_ten
130,S3_ten
131,S4_ten
132,S5_ten
133,S6_ten
134,S7_ten
135,S8_ten
136,S9_ten
137,S0_one
138,S1_one
139,S2_one
140,S3_one
141,S4_one
142,S5_one
143,S6_one
144,S7_one
145,S8_one
146,S9_one
